Copernican ideology.,কোপারনিকান মূলনীতি
Pakistan (Urdu: پاکِستان) officially the Islamic Republic of Pakistan (Urdu: اسلامی جمہوریہ پاکِستان) is a country in South Asia.,পাকিস্তান তথা ইসলামী প্রজাতন্ত্রী পাকিস্তান (উর্দু ভাষায়: اسلامی جمہوریۂ پاکستان ইস্‌লামী জুম্‌হূরিয়াতে পাকিস্তান্‌) দক্ষিণ এশিয়ায় অবস্থিত একটি দেশ।
"Afterwards, it came under the British Empire.",এরপর এটি ব্রিটিশ শাসনের অধীনে আচে।
S-Sindh,স - সিন্ধ
References,তথ্যসূত্র
History,ইতিহাস
References,তথ্যসূত্র
Main characteristics,প্রধান বৈশিষ্ট্য
It is true that most of the open source softwares are developed by the volunteers but there are exceptions to it.,এটি সত্যি যে অধিকাংশ ওপেন-সোর্স সফটওয়্যার স্বেচ্ছাসেবীরাই তৈরি করছে কিন্তু এর অনেক ব্যতিক্রমও আছে।
Later Italy joined with German .,জার্মানির সাথে পরবর্তীতে ইতালি যুক্ত হয়ে অক্ষশক্তি হিসেবে আত্মপ্রকাশ করে।
"In this war almost 62000000 people died, more than half of them were Russian.",এই ভয়াবহ যুদ্ধে আনুমানিক ৬ কোটি ২০ লক্ষ মানুষ মারা যায় যার মধ্যে প্রায় অর্ধেকই ছিল রাশিয়ার নাগরিক।
This deadliest weapon was invented during turmoil of the war and the war came to an end with the application of this very weapon itself.,মহাযুদ্ধের ডামাডোলের মধ্যেই এই মারণাস্ত্র উদ্ভাবিত হয় এবং এর ধ্বংসলীলার মধ্য দিয়েই যুদ্ধের সমাপ্তি ঘটে।
This reason became the basis understanding among the countries of Allied force during the post-war time through the policy of conciliation in which the directory role was played by United States and France.,এই কারণটি যুদ্ধোত্তর সময়ে মিত্রশক্তির দেশসমূহের মধ্যে তোষণ নীতির মাধ্যমে সমঝোতার ভিত্তি হয়ে দাঁড়ায় যা নির্দেশক শক্তির ভূমিকা পালন করে যুক্তরাষ্ট্র এবং ফ্রান্স।
Germany made a non-aggression treaty with the Soviet Union with a view to keep Soviet inactive.,সোভিয়েত ইউনিয়নকে নিষ্ক্রিয় রাখার জন্য জার্মানী অনাক্রমণ চুক্তি [non-aggression treaty] করে।
